time="2022-08-03T08:20:15Z" level=info msg="Logger Configuration." fields.level=debug path=./log
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-08-43-518114a6577881077cc71520007833fd0c7488c9690023c9f5d3cc14012e3bdd.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-08-54-28b9861e661da8067f8940534873d669f71ec67bcf50b35eabe7a87929e95e44.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-07-5ddd92e826fb311d0146cbfce2df24c292fb4f9a86299fa5182daacd2c7a2f76.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-14-0e3881d27503ad87a1a7f2a4f343c85f015e8f5a46268313e7738805bfc5e07b.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-18-277af724e0efb336274aacc0cc89977d0d8dc91a7941aed49c46ad6e4438ff73.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-18-d4feb207dc0bd28eb49656d8cab0b85fb0a5723673ca07f9f77fb4bd6074844f.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-28-97bc3ab4721f674cf7bcf7444e097f32a80e90391e2bd2ed39a9398d48755d48.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-31-e61251a354cc87ffcb2ba47ade614fe1a1fc8cffd90ff45a45b64ea29d2e2588.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-34-ac0843d595ee797e95d81f33822f2a29a403bb6e21b5fd39f1c270da82dcfac8.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-52-41afc4a46100f172b28f4606e3d820805bd320944087275c1ceb7f4b3cac3336.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-55-78e9e62fb095563a5e07f4cf75c43f0b8452be9ed9c2e5bfcecdf7809f1703c7.plot
